Title,Venue Link,Address,Maps Link
"Racquet Republic | Sacred Heart Khar","https://hudle.in/venues/courts-at-heart-santacruz-west/666893","Inside Sacred Heart Boys High School, Swami Vivekanand Rd, Khar, Ram Krishna Nagar, Santacruz (West), Mumbai, Maharashtra.","https://www.google.com/maps?q=19.0744059,72.8385495"
"The Club - Mumbai","https://hudle.in/venues/the-club-members-only-testing/399490","The Club Mumbai, 197, Shakti Nagar, Shanti Nagar, D.N.Nagar, Andheri West, Mumbai, Maharashtra.","https://www.google.com/maps?q=19.121409,72.831864"
"Ace Padel Andheri","https://hudle.in/venues/ace-padel-andheri-east/993497","ACE PADEL ANDHERI, Mahakali Caves Road, opposite manika apartment, near satya sai baba temple close, MMRDA Colony, Andheri East, Mumbai, Maharashtra","https://www.google.com/maps?q=19.1314694,72.8719125"
"Padel Tennis Federation | Celebration Sports Club","https://hudle.in/venues/padel-tennis-federation-celebration-sports-club/516883","2nd Floor, Celebrations Sports Club, Garden No. 5, Lokhandwala Complex, Andheri West, Mumbai, Maharashtra 400053","https://www.google.com/maps?q=19.142731,72.825333"
"Willingdon Outdoor Sports Arena | Maali Khata","https://hudle.in/venues/willingdon-sports-club/539638","Willingdon Outdoor Sports Arena at the Maali Khata, Bodyguard Lane, Haji Ali, Mumbai 400 011","https://www.google.com/maps?q=18.9747167,72.8161223"
"7Padel | Cooperage Colaba","https://hudle.in/venues/padelpark-cooperage/905659","Near Cooperage Stadium, Mumbai, Maharashtra, 400021","https://www.google.com/maps?q=18.9243733,72.8287041"
"7Padel | Bandra Wings","https://hudle.in/venues/padelpark-bandra/453083","PadelPark Bandra, Rahul Nagar, KC Marg, Opp Lilavati Hospital, Nityanand Nagar, Reclamation, Bandra West, Mumbai, Maharashtra, 400050","https://www.google.com/maps?q=19.051197,72.831772"
"NSCI Padel Club | Members Only","https://hudle.in/venues/padelpark-nsci/118119","Lala Lajpatrai Marg, Lotus Colony, Worli, Mumbai, Maharashtra 400018","https://www.google.com/maps?q=18.9862285,72.814939"
"7Padel | BPM School Khar","https://hudle.in/venues/padelpark-khar/604705","Inside BPM School, 16th Rd, Khar West, Mumbai.","https://www.google.com/maps?q=19.0751269,72.8308958"
"Radio Club | Bombay Pickleball and Padel Club","https://hudle.in/venues/radio-club-bombay-padel-club/329288","157, Arthur Bunder rd, Apollo Bunder, Colaba 400001","https://www.google.com/maps?q=18.9182399,72.8318378"
"Padel 360 | Worli","https://hudle.in/venues/padel-360-worli/496598","Oricon Enterprises Ltd.\r 1076, Dr. E. Moses Road, Worli,, Worli Naka, Upper Worli, Worli, Mumbai, Maharashtra 400018","https://www.google.com/maps?q=18.9964693,72.8194423"
"7Padel | Bandra Stanislaus","https://hudle.in/venues/padelpark-stanislaus/102568","St. Stanislaus Sports Complex, St. Peters Road, near Balaji, Bandra West, Mumbai, Maharashtra","https://www.google.com/maps?q=19.0545044,72.8304396"
"SkyPadel | Padel Tennis Federation | Sahara Star","https://hudle.in/venues/skypadel-padel-tennis-federation-sahara-star/880563","Sahara Star Hotel, Nehru Rd, opp. Domestic Airport, Navpada, Vile Parle East, Vile Parle, Mumbai, Maharashtra 400099","https://www.google.com/maps?q=19.0961109,72.853375"
"7Padel | WTC Cuffe Parade","https://hudle.in/venues/padelpark-world-trade-centre/370024","Ground Floor, Gate 2 World Trade Center Colaba, Near Parking Lot, Cuffe Parade, Mumbai.","https://www.google.com/maps?q=18.9146407,72.817956"
"7Padel | PDP Malabar Hill","https://hudle.in/venues/pdp-padelpark/618937","Priyadarshini Park, Nepean Sea Rd, Malabar Hill, Mumbai, Maharashtra 400006","https://www.google.com/maps?q=18.9565615,72.7989291"
"PadelPro Club | Xavier | Mahim","https://hudle.in/venues/padelpro-club-xavier-mahim/107004","Xavier Institute of Engineering, Raheja Hospital Marg, Mahim, Mumbai, Maharashtra","https://www.google.com/maps?q=19.0452732,72.8416466"
"The Wodehouse Gymkhana","https://hudle.in/venues/the-wodehouse-gymkhana/939039","Wodehouse Gymkhana, Maharshi Karve Road, Nariman Point, Mumbai, Maharashtra","https://www.google.com/maps?q=18.9219477,72.8276617"
"Hurdles Padel | Ghatkopar","https://hudle.in/venues/hurdles-padel-ghatkopar/837122","Shivaji Technical School, Next to SBI Bank, 90 Feet Road, Naidu Colony, Pant Nagar, Ghatkopar East, Mumbai.","https://www.google.com/maps?q=19.0838103,72.9136142"
"Palm Padickle | Andheri West","https://hudle.in/venues/palm-padickle-andheri-west/673090","Sarita Lawns & Banquets, beside Good Shepherd Church, Gharkul Society, Indira Nagar, Four Bungalows, Andheri West, Mumbai, Maharashtra","https://www.google.com/maps?q=19.1252365,72.8252362"
"BandrArcade | Taj Lands End Mumbai","https://hudle.in/venues/bandrarcade-taj-lands-end-mumbai/979503","Taj Lands End, Mumbai, Byramji Jeejeebhoy Road, opp. ICICI Bank, Mount Mary, Bandra West, Mumbai, Maharashtra","https://www.google.com/maps?q=19.0439115,72.819277"
"Bombay Gymkhana | Members Only","https://hudle.in/venues/bombay-gymkhana-members-only/255944","Mahatma Gandhi Road, Opp Fashion Street,\r Azad Maidan, Fort, Mumbai, Maharashtra 400001","https://www.google.com/maps?q=18.937284,72.8308378"
"PickPad by AIM Sports | Goregaon West","https://hudle.in/venues/pickpad-by-aim-sports-goregaon-west/850888","3rd Floor, Timestar House, 12, Swami Vivekananda Rd, above Infiniti Hospital, Udyog Nagar, Goregaon West, Mumbai, Maharashtra 400062","https://www.google.com/maps?q=19.1723685,72.8458992"
"Club De Padel | Heera Panna Mall | Padel Tennis Federation","https://hudle.in/venues/padel-tennis-federation-heera-panna-mall/860964","3rd Floor Terrace, Heera Panna Mall, Oshiwara Police Station Rd, Mhada Colony, Andheri West, Mumbai.","https://www.google.com/maps?q=19.1492261,72.8316878"
"Padel Project | Powai | Supreme Business Park","https://hudle.in/venues/padel-project-powai-supreme-business-park/172755","Padel Project/High Rock, S4, A wing, Supreme Business park, Hiranandani Gardens, next to Gold's Gym Powai, 400076","https://www.google.com/maps?q=19.1117099,72.9084925"
"Ace Padel Ball | Bandra West","https://hudle.in/venues/ace-padel-ball-bandra-west/149907","stella maris, road, Bandra West, Mumbai, Maharashtra 400050","https://www.google.com/maps?q=19.0602646,72.8303066"
"Breach Candy Swimming Bath Trust | Members Only","https://hudle.in/venues/breach-candy-swimming-bath-trust/650577","Breach Candy Swimming Bath Trust, Bhulabhai Desai Marg, Breach Candy, Cumballa Hill, Mumbai, Maharashtra","https://www.google.com/maps?q=18.9718411,72.8038165"
